ZipCode,Neighborhood,CityState,County,SchoolDistrict,Rating,12MonthAppreciation,5YearAppreciation,10YearAppreciation,MedianHomeCost,Property Tax Rate (School/Sewer/County),2 Bed Rent (bestplaces.net),3 Bed Rent (bestplaces.net),Homes Owned,% Renters,Homes Vacant,Homes Rented,VacantForRent,PopulationNow,Population2010,PopulationGrowthRate,MedianAge,MedianIncome,JobMarketIncrease,FutureJobGrowth,ViolentCrime,PropertyCrime
14031,Clarence,No City ,Erie,Clarence Central School District,A,0.13,0.567,0.851,395000,0.2072,960,1170,0.743,0.207,0.089,0.168,0,10258,9392,9.220613288,50.2,52134,-0.06,0.268,14.7,20.1
14067,Gasport,No City ,Niagara ,Royalton-Hartland Central School District,B-,0.13,0.567,0.851,197500,0.2448,1070,1310,0.78,0.182,0.085,0.136,0,5494,5040,9.007936508,42.5,36111,-0.06,0.228,18.8,24.7
14032,Clarence Center,No City ,Erie,Clarence Central School District,A,0.13,0.567,0.851,493400,0.2429,1630,2000,0.876,0.121,0.054,0.071,0.007,8660,7989,8.399048692,44.2,59767,-0.06,0.268,7,12
14069,Glenwood,No City ,Erie,North Shore Central School District ,A+,0.13,0.567,0.851,240000,0.2429,1010,1240,0.908,0.197,0,0.092,0,913,844,8.17535545,51.5,35141,-0.06,0.244,10.2,15.9
14012,Barker,No City ,Niagara ,Barker Central School District ,B,0.13,0.567,0.851,198400,0.2078,940,1150,0.731,0.153,0.158,0.111,0,2488,2362,5.33446232,43.8,30245,-0.06,0.228,22.6,27.8
14034,Collins,No City ,Erie,Gowanda Central School District,B-,0.13,0.567,0.851,171700,0.2429,900,1100,0.772,0.113,0.118,0.11,0,2886,2742,5.251641138,39.3,22961,-0.06,0.244,23.8,29.3
14086,Lancaster,No City ,Erie,Lancaster Central School District,A-,0.13,0.567,0.851,304300,0.2479,1030,1260,0.809,0.158,0.027,0.164,0.001,32730,31847,2.772631645,45.8,47370,-0.06,0.244,13.5,18.7
14086,Lancaster,No City ,Erie,Lancaster Central School District,A-,0.13,0.567,0.851,304300,0.2479,1030,1260,0.809,0.158,0.027,0.164,0.001,32730,31847,2.772631645,45.8,47370,-0.06,0.244,13.5,18.7
14092,Lewiston,No City ,Niagara ,Lewiston-Porter Central School District,A,0.13,0.567,0.851,278300,0.2114,1130,1380,0.711,0.169,0.054,0.235,0.024,11331,11086,2.209994588,49,39495,-0.06,0.228,18.7,24.1
14001,Akron,No City ,Erie,Akron Central School District,B,0.13,0.567,0.851,247400,0.2537,980,1200,0.674,0.195,0.086,0.24,0.01,9637,9464,1.827979713,45.1,36776,-0.06,0.244,22.2,28.1
